0.33,0.3325,0.34,0.3525,0.37,0.3925,0.42,0.4525,0.49,0.5325,0.58,0.6325,0.69,0.7525,0.82,0.8925,0.97,1.0525,1.14,1.2325,1.33,
0.3825,0.385,0.3925,0.405,0.4225,0.445,0.4725,0.505,0.5425,0.585,0.6325,0.685,0.7425,0.805,0.8725,0.945,1.0225,1.105,1.1925,1.285,1.3825,
0.44,0.4425,0.45,0.4625,0.48,0.5025,0.53,0.5625,0.6,0.6425,0.69,0.7425,0.8,0.8625,0.93,1.0025,1.08,1.1625,1.25,1.3425,1.44,
0.5025,0.505,0.5125,0.525,0.5425,0.565,0.5925,0.625,0.6625,0.705,0.7525,0.805,0.8625,0.925,0.9925,1.065,1.1425,1.225,1.3125,1.405,1.5025,
0.57,0.5725,0.58,0.5925,0.61,0.6325,0.66,0.6925,0.73,0.7725,0.82,0.8725,0.93,0.9925,1.06,1.1325,1.21,1.2925,1.38,1.4725,1.57,
0.6425,0.645,0.6525,0.665,0.6825,0.705,0.7325,0.765,0.8025,0.845,0.8925,0.945,1.0025,1.065,1.1325,1.205,1.2825,1.365,1.4525,1.545,1.6425,
0.72,0.7225,0.73,0.7425,0.76,0.7825,0.81,0.8425,0.88,0.9225,0.97,1.0225,1.08,1.1425,1.21,1.2825,1.36,1.4425,1.53,1.6225,1.72,
0.8025,0.805,0.8125,0.825,0.8425,0.865,0.8925,0.925,0.9625,1.005,1.0525,1.105,1.1625,1.225,1.2925,1.365,1.4425,1.525,1.6125,1.705,1.8025,
0.89,0.8925,0.9,0.9125,0.93,0.9525,0.98,1.0125,1.05,1.0925,1.14,1.1925,1.25,1.3125,1.38,1.4525,1.53,1.6125,1.7,1.7925,1.89,
0.9825,0.985,0.9925,1.005,1.0225,1.045,1.0725,1.105,1.1425,1.185,1.2325,1.285,1.3425,1.405,1.4725,1.545,1.6225,1.705,1.7925,1.885,1.9825,
